date,daily_return,log_return,rolling_mean_7d,rolling_std_7d,price_momentum_5d,spike_signal,spike_intensity,inter_spike_interval,india_repo_rate,target
2022-03-27,0.0,0.0,76.26832907540458,0.1926421255872275,0.000214962940389,0,0.0,3.0,6.82,0
2022-03-28,-0.0005895715999622,-0.0005897454656388,76.3157719203404,0.1312615772054906,0.0023206415188312,0,0.0,4.0,6.82,0
2022-03-29,-0.0032040484994162,-0.0032091924534003,76.27677263532367,0.1693088544201249,-0.0067704643748836,1,0.0032040484994162,5.0,6.82,0
2022-03-30,-0.004832057019798,-0.0048437691516771,76.214601789202,0.2847634134775951,-0.0086054662423777,1,0.004832057019798,1.0,6.82,1
2022-03-31,0.0021290033884577,0.0021267402722958,76.11108725411552,0.2729608186187158,-0.0064947839207091,0,0.0,1.0,6.82,1
2022-04-01,0.0010735593402126,0.0010729834874887,76.05190168108258,0.263995802121594,-0.005428197116437,0,0.0,2.0,7.11,0
2022-04-02,0.0,0.0,75.99271610804966,0.2381311622735784,-0.0048414799155349,0,0.0,3.0,7.11,0
2022-04-03,0.0,0.0,75.93353053501674,0.188535432279516,-0.0016426946895737,0,0.0,4.0,7.11,1
2022-04-04,0.0011275863049773,0.0011269510570261,75.89300101143974,0.1200849830082991,0.0043360483882189,0,0.0,5.0,7.11,0
2022-04-05,-0.0068004646217819,-0.0068236931510762,75.81355721609933,0.1801211601902586,-0.0046130854910417,1,0.0068004646217819,6.0,7.11,0
2022-04-06,-0.0003616679665688,-0.0003617333842013,75.78269958496094,0.2228961855717036,-0.006040159922473,0,0.0,1.0,7.11,1
2022-04-07,0.0065526235267923,0.0065312484138187,75.79945700509208,0.2311097640782776,0.0004728847103056,1,0.0065526235267923,2.0,7.11,0
2022-04-08,-0.0004200205017421,-0.0004201087350605,75.80002811976841,0.2314308823461776,5.266558729014548e-05,0,0.0,1.0,7.11,0
2022-04-09,0.0,0.0,75.80059923444476,0.2317499136716241,-0.0010737100169765,0,0.0,2.0,7.11,0
2022-04-10,0.0,0.0,75.8011703491211,0.2320668666616189,0.0057659658515895,0,0.0,3.0,7.11,1
2022-04-11,5.396933396117909e-05,5.396787766907149e-05,75.79009900774274,0.2229598097488261,0.006184150946754,0,0.0,4.0,7.11,0
2022-04-12,-0.0010577217607886,-0.0010582815432144,75.84138488769531,0.1754263913093125,-0.001423408392534,0,0.0,5.0,7.11,1
2022-04-13,0.0041247040902074,0.0041162208176171,75.94125693184989,0.0977341545608497,0.0031167541616436,1,0.0041247040902074,6.0,7.11,0
2022-04-14,-0.000369097335596,-0.0003691654687833,75.96648515973773,0.1193036829535783,0.0027465064403907,0,0.0,1.0,7.11,1
2022-04-15,0.0024579493121621,0.0024549334955568,76.0229993547712,0.1719414819814335,0.0052112065261688,0,0.0,2.0,7.11,0
2022-04-16,0.0,0.0,76.07951354980469,0.1934994861104184,0.0051569588745719,0,0.0,3.0,7.11,0
2022-04-17,0.0,0.0,76.13602774483817,0.1945967688923986,0.0062212609984983,0,0.0,4.0,7.11,1
2022-04-18,0.0002961423410861,0.0002960984995983,76.19518498011998,0.1793678372178099,0.0023847054239574,0,0.0,5.0,7.11,0
2022-04-19,-0.0006707707186541,-0.000670995785984,76.25849914550781,0.0855426662139866,0.0020822009851642,0,0.0,6.0,7.11,1
2022-04-20,0.0021656902573843,0.0021633485305993,76.30072675432477,0.0953404997722388,0.0017900514769774,0,0.0,7.0,7.11,0
2022-04-21,-0.0022133063655337,-0.002215759348204,76.32279859270368,0.0572690363095091,-0.0004272168208849,0,0.0,8.0,7.11,1
2022-04-22,0.0001180274531855,0.0001180204884937,76.31942749023438,0.0589016678052747,-0.0003092397910126,0,0.0,9.0,7.11,0
2022-04-23,0.0,0.0,76.31605638776507,0.0602706698679321,-0.0006052029058934,0,0.0,10.0,7.11,0
2022-04-24,0.0,0.0,76.31268528529576,0.0613936808481049,6.561182325054975e-05,0,0.0,11.0,7.11,1
2022-04-25,0.0023372678508957,0.0023345406889709,76.33155713762555,0.0841796524036401,0.0002368298690269,0,0.0,12.0,7.11,1
2022-04-26,0.0008409311146906,0.0008405777302215,76.36692919049945,0.1077288374731356,0.0032985672467415,0,0.0,13.0,7.11,1
2022-04-27,0.0034797339195897,0.0034736936538036,76.41674368722099,0.1951830875677053,0.0066709644925308,1,0.0034797339195897,14.0,7.11,0
2022-04-28,-0.0041917207554158,-0.0042005306445439,76.44474356515067,0.1854782985171612,0.002451280916793,1,0.0041917207554158,1.0,7.11,1
2022-04-29,0.0015273315425838,0.0015261663580279,76.48814283098493,0.1772870740385738,0.0039823563780409,0,0.0,1.0,7.11,0
2022-04-30,0.0,0.0,76.5315420968192,0.1551270104783157,0.0016412524804873,0,0.0,2.0,7.11,0
2022-05-01,0.0,0.0,76.57494136265346,0.1109200049457396,0.0007996489161422,0,0.0,3.0,7.39,0
2022-05-02,-0.0008603726807318,-0.0008607430137381,76.58345576695034,0.1029404353131214,-0.0035288661649689,0,0.0,4.0,7.39,1
2022-05-03,1.3060770669204302e-05,1.306068537808171e-05,76.58292715890067,0.1032827875740634,0.0006787142520215,0,0.0,5.0,7.39,0
2022-05-04,-0.0007422608217789,-0.0007425364337351,76.53624180385044,0.0540429003294214,-0.0015889550341962,0,0.0,6.0,7.39,0
2022-05-05,-0.0060901619340534,-0.0061087826106964,76.46901375906808,0.211196799587079,-0.0076694399747855,1,0.0060901619340534,7.0,7.39,1
2022-05-06,0.0071077354205846,0.0070825945287559,76.46227155412946,0.2074481561499062,-0.0006162169043657,1,0.0071077354205846,1.0,7.39,0
2022-05-07,0.0,0.0,76.45552934919085,0.203369908607001,0.0002443660222156,0,0.0,1.0,7.39,0
2022-05-08,0.0,0.0,76.44878714425224,0.1989417876322057,0.000231302230561,0,0.0,2.0,7.39,1
2022-05-09,0.0054309564517751,0.0054162619871071,76.51084354945591,0.2780205964635631,0.00641053398468,1,0.0054309564517751,3.0,7.39,1
2022-05-10,0.0053016896149122,0.0052876851349892,76.63104357038226,0.4267904791036473,0.0179456641960664,1,0.0053016896149122,1.0,7.39,0
2022-05-11,-0.0012163167101739,-0.0012170570237083,76.74591500418526,0.4802391190284064,0.0095320332834719,0,0.0,1.0,7.39,1
2022-05-12,0.0019024266801024,0.0019006193583009,76.9483152117048,0.4072787979456898,0.0114525939580086,0,0.0,2.0,7.39,1
2022-05-13,0.000328064816699,0.0003280110152036,77.0771724155971,0.3998500686927949,0.0117844159678452,0,0.0,3.0,7.39,0
2022-05-14,0.0,0.0,77.2060296194894,0.3393244042058406,0.0063191405389902,0,0.0,4.0,7.39,0
2022-05-15,0.0,0.0,77.3348868233817,0.1779295951328356,0.0010120851626816,0,0.0,5.0,7.39,1
2022-05-16,0.0005487298725981,0.0005485793754139,77.41042981828961,0.0713072152872033,0.0027810697684475,0,0.0,6.0,7.39,1
2022-05-17,0.0041181400598879,0.0041096837293972,77.47327205113002,0.1616811826443699,0.0049987262728279,1,0.0041181400598879,7.0,7.39,0
2022-05-18,-0.005565149382106,-0.0055806925193389,77.48770032610211,0.1442283829353446,-0.0009220041072972,1,0.005565149382106,1.0,7.39,1
2022-05-19,0.0057850257682527,0.0057683567628702,77.54507119315011,0.1859174914224406,0.0048576878434364,1,0.0057850257682527,1.0,7.39,0
2022-05-20,-0.0051259688335997,-0.0051391516810478,77.54182761056083,0.188163232246304,-0.000293181346652,1,0.0051259688335997,1.0,7.39,0
2022-05-21,0.0,0.0,77.53858402797154,0.1903180015743175,-0.0008414494907783,0,0.0,1.0,7.39,0
2022-05-22,0.0,0.0,77.53534044538226,0.1923848561566342,-0.0049392490313645,0,0.0,2.0,7.39,1
2022-05-23,0.0051316855046907,0.0051185632802383,77.58278329031808,0.2175744857796611,0.0057643184761799,1,0.0051316855046907,3.0,7.39,0
2022-05-24,-0.0037471275208672,-0.0037541655903931,77.54298400878906,0.1943026336144062,-0.0037676385631679,1,0.0037471275208672,1.0,7.39,0
2022-05-25,-0.0006191942542866,-0.000619386034219,77.55818394252232,0.1825395900744405,0.0007452892457412,0,0.0,1.0,7.39,1
2022-05-26,0.0002387915434509,0.0002387630372882,77.51208387102399,0.1415433737591437,0.0009842587579616,0,0.0,2.0,7.39,1
2022-05-27,0.0017149507675242,0.0017134819185527,77.54195622035435,0.1412056416324041,0.0027008974807981,0,0.0,3.0,7.39,0
2022-05-28,0.0,0.0,77.57182856968471,0.1332718007506286,-0.0024183776702572,0,0.0,4.0,7.39,0
2022-05-29,0.0,0.0,77.60170091901507,0.1161961513760677,0.0013337475728461,0,0.0,5.0,7.39,1
2022-05-30,0.0007960573735257,0.0007957406879102,77.58364432198661,0.0815717858612751,0.0027517648172122,0,0.0,6.0,7.39,0
2022-05-31,-0.0022023429464436,-0.0022047716702475,77.58280072893415,0.0822850239983636,0.0003044972861051,0,0.0,7.0,7.39,1
2022-06-01,0.0010074975255438,0.0010069903405417,77.59997231619698,0.0683211852471008,-0.0004019598342864,0,0.0,8.0,7.53,0
2022-06-02,-0.0001920154603415,-0.0001920338976702,77.61237226213727,0.0526633863395909,-0.0005938981121253,0,0.0,9.0,7.53,0
2022-06-03,-0.0028820634425671,-0.0028862245844503,77.57384272984096,0.1075270233504222,-0.0034742499026549,0,0.0,10.0,7.53,0
2022-06-04,0.0,0.0,77.53531319754464,0.1299492127827201,-0.0042669105705587,0,0.0,11.0,7.53,0
2022-06-05,0.0,0.0,77.49678366524833,0.1369220351787551,-0.0020691245459642,0,0.0,12.0,7.53,1
2022-06-06,0.0043135980559765,0.0043043211601809,77.49709756033761,0.1374456806370698,0.0012268146001752,1,0.0043135980559765,13.0,7.53,1
2022-06-07,0.0016320463996093,0.001630716059139,77.53996930803571,0.1847646301171433,0.0030534649909633,0,0.0,1.0,7.53,0
2022-06-08,-0.001932617880083,-0.0019344877956281,77.55019814627511,0.1904711310272249,0.0040085623032812,0,0.0,2.0,7.53,1
2022-06-09,0.0006913256508238,0.0006910867953243,77.57022639683315,0.2016715979283265,0.0047026591760484,0,0.0,3.0,7.53,1
2022-06-10,0.0012146282706446,0.0012138912065056,77.63568442208427,0.1965490525194153,0.0059229994294756,0,0.0,4.0,7.53,0
2022-06-11,0.0,0.0,77.70114244733539,0.1630762690239914,0.0016024888805791,0,0.0,5.0,7.53,0
2022-06-12,0.0,0.0,77.76660047258649,0.0675163078706157,-2.9509358388118453e-05,0,0.0,6.0,7.53,1
2022-06-13,0.0046119292111366,0.0046013268513366,77.83565739222935,0.1620930068679037,0.0065275168335045,1,0.0046119292111366,7.0,7.53,0
2022-06-14,-0.0002174317407791,-0.0002174553824871,77.88417162214007,0.2027072884283978,0.0056134594240635,0,0.0,1.0,7.53,0
2022-06-15,-0.0022402877751211,-0.0022428009740062,77.92915671212333,0.181213565727936,0.0021433642229941,0,0.0,2.0,7.53,0
2022-06-16,-0.0010937499235695,-0.0010943485045222,77.95428575788226,0.1588923511240389,0.0010472699949695,0,0.0,3.0,7.53,1
2022-06-17,0.0009948548239637,0.0009943602838732,77.97699955531529,0.1472156502841819,0.0020431667005397,0,0.0,4.0,7.53,0
2022-06-18,0.0,0.0,77.99971335274833,0.1299781164114317,-0.00255696994621,0,0.0,5.0,7.53,0
2022-06-19,0.0,0.0,78.02242715018136,0.104462282272274,-0.0023400470059248,0,0.0,6.0,7.53,0
2022-06-20,-0.0002089877858575,-0.0002090096268479,77.99154227120536,0.0800451369326283,-0.0003089501125789,0,0.0,7.0,7.53,0
2022-06-21,-0.0003515173424193,-0.0003515791391225,77.95917075020927,0.0311960791721198,0.000433865610372,0,0.0,8.0,7.53,1
2022-06-22,0.0025778845057227,0.0025745674608763,77.98051452636719,0.0739808938699139,0.00201600811217,0,0.0,9.0,7.53,1
2022-06-23,0.0007448274623,0.0007445502159843,78.02235739571708,0.0994362344798902,0.0027623371526764,0,0.0,10.0,7.53,0
2022-06-24,-0.0006483606184687,-0.0006485708951095,78.04588644845145,0.1063536471764869,0.002112185543583,0,0.0,11.0,7.53,0
2022-06-25,0.0,0.0,78.06941550118583,0.1069713063797731,0.0023216585277158,0,0.0,12.0,7.53,0
2022-06-26,0.0,0.0,78.0929445539202,0.1014043938402256,0.0026741158682384,0,0.0,13.0,7.53,1
2022-06-27,0.001406327360087,0.0014053394079128,78.13450077601841,0.0980633187478983,0.0015024462719471,0,0.0,14.0,7.53,1
2022-06-28,0.0024127678679808,0.0024098618170673,78.20694405691964,0.1116278842155556,0.003171649400142,0,0.0,15.0,7.53,1
2022-06-29,0.0080582160150453,0.0080259219646596,78.34098597935268,0.3401463579852693,0.0119115068215761,1,0.0080582160150453,16.0,7.53,0
2022-06-30,-0.0022118271193315,-0.0022142768218132,78.44172886439732,0.3898465948040331,0.0096733335084245,0,0.0,1.0,7.53,1
2022-07-01,0.00082000835867,0.0008196723354978,78.55895669119698,0.4078010957697326,0.0105012740814277,0,0.0,2.0,7.4,0
2022-07-02,0.0,0.0,78.67618451799665,0.3854316870695612,0.0090821742112583,0,0.0,3.0,7.4,0
2022-07-03,0.0,0.0,78.79341234479632,0.3142418217538532,0.0066533533461097,0,0.0,4.0,7.4,0
2022-07-04,-0.0001557512301159,-0.0001557633605983,78.89318411690849,0.206049881156538,-0.0015491666475304,0,0.0,5.0,7.4,0
2022-07-05,-0.0001418600637442,-0.0001418701268348,78.96438380650112,0.0532596350167031,0.0005221751340587,0,0.0,6.0,7.4,1
2022-07-06,0.0054332961107237,0.0054185890053985,79.00655582972935,0.1612242438376197,0.0051340900215056,1,0.0054332961107237,7.0,7.4,0
2022-07-07,-0.0040885419795779,-0.0040969229190193,79.02735573904855,0.1541678478970284,0.0010245570993478,1,0.0040885419795779,1.0,7.4,1
2022-07-08,0.0022481666322731,0.0022456432868961,79.06429944719586,0.1666546574639458,0.0032750271067044,0,0.0,1.0,7.4,0
2022-07-09,0.0,0.0,79.1012431553432,0.1691011631629867,0.0034313127680048,0,0.0,2.0,7.4,0
