,close,high,low,open,volume,roll_mean,roll_upper,roll_lower,is_outlier
2024-07-22,5.520872116088867,5.619172096252441,5.518971920013428,5.520872116088867,0.0,5.49,5.6946,5.2854,False
2024-07-23,5.570700168609619,5.604300022125244,5.559500217437744,5.570700168609619,0.0,5.4939,5.702,5.2858,False
2024-07-24,5.585299968719482,5.64769983291626,5.55548906326294,5.585299968719482,0.0,5.4992,5.7095,5.289,False
2024-07-25,5.653600215911865,5.684309959411621,5.624100208282471,5.653600215911865,0.0,5.508,5.7251,5.2909,False
2024-07-26,5.643099784851074,5.661200046539307,5.61329984664917,5.643099784851074,0.0,5.5144,5.7411,5.2878,False
2024-07-27,5.643099784851074,,,,,5.5185,5.7558,5.2811,False
2024-07-28,5.643099784851074,,,,,5.5232,5.7699,5.2765,False
2024-07-29,5.622840881347656,5.666600227355957,5.629231929779053,5.622840881347656,0.0,5.5273,5.7795,5.275,False
2024-07-30,5.614500045776367,5.660399913787842,5.611489772796631,5.614500045776367,0.0,5.5311,5.7873,5.2749,False
2024-07-31,5.611100196838379,5.679299831390381,5.600062847137451,5.611100196838379,0.0,5.5317,5.7895,5.2739,False
2024-08-01,5.656599998474121,5.694200038909912,5.630640983581543,5.656599998474121,0.0,5.5318,5.7898,5.2737,False
2024-08-02,5.75059986114502,5.789299964904785,5.704999923706055,5.75059986114502,0.0,5.5343,5.8081,5.2605,False
2024-08-03,5.75059986114502,,,,,5.5408,5.8391,5.2425,False
2024-08-04,5.75059986114502,,,,,5.5496,5.8674,5.2318,False
2024-08-05,5.7266998291015625,5.82420015335083,5.679699897766113,5.7266998291015625,0.0,5.5576,5.8876,5.2276,False
2024-08-06,5.720900058746338,5.723199844360352,5.634300231933594,5.720900058746338,0.0,5.5654,5.9046,5.2263,False
2024-08-07,5.6554999351501465,5.656000137329102,5.593900203704834,5.6554999351501465,0.0,5.5716,5.9099,5.2333,False
2024-08-08,5.635799884796143,5.651500225067139,5.597799777984619,5.635799884796143,0.0,5.5771,5.9121,5.242,False
2024-08-09,5.54610013961792,5.548500061035156,5.491899967193604,5.54610013961792,0.0,5.5814,5.9046,5.2582,False
2024-08-10,5.54610013961792,,,,,5.5858,5.8956,5.2759,False
2024-08-11,5.54610013961792,,,,,5.5894,5.8887,5.29,False
2024-08-12,5.50629997253418,5.520899772644043,5.47130012512207,5.50629997253418,0.0,5.5916,5.8825,5.3008,False
2024-08-13,5.491899967193604,5.50059986114502,5.468599796295166,5.491899967193604,0.0,5.5934,5.8769,5.31,False
2024-08-14,5.455699920654297,5.462399959564209,5.4274001121521,5.455699920654297,0.0,5.5945,5.8723,5.3167,False
2024-08-15,5.468900203704834,5.483399868011475,5.439914226531982,5.468900203704834,0.0,5.5953,5.8697,5.3209,False
2024-08-16,5.484899997711182,5.486499786376953,5.434700012207031,5.484899997711182,0.0,5.5973,5.8618,5.3328,False
2024-08-17,5.484899997711182,,,,,5.5972,5.8621,5.3323,False
2024-08-18,5.484899997711182,,,,,5.5953,5.8657,5.3248,False
2024-08-19,5.47130012512207,5.4721999168396,5.401500225067139,5.47130012512207,0.0,5.5929,5.8703,5.3154,False
2024-08-20,5.405600070953369,5.473400115966797,5.4018378257751465,5.405600070953369,0.0,5.5883,5.8831,5.2935,False
2024-08-21,5.478099822998047,5.483799934387207,5.458799839019775,5.478099822998047,0.0,5.5868,5.8856,5.2881,False
2024-08-22,5.482500076293945,5.5706000328063965,5.4458770751953125,5.482500076293945,0.0,5.5839,5.888,5.2798,False
2024-08-23,5.59089994430542,5.601099967956543,5.487964153289795,5.59089994430542,0.0,5.5841,5.8882,5.28,False
2024-08-24,5.59089994430542,,,,,5.582,5.8836,5.2804,False
2024-08-25,5.59089994430542,,,,,5.5803,5.8799,5.2806,False
2024-08-26,5.485400199890137,5.508699893951416,5.47189998626709,5.485400199890137,0.0,5.575,5.8769,5.2732,False
2024-08-27,5.495699882507324,5.516300201416016,5.4695000648498535,5.495699882507324,0.0,5.5701,5.8724,5.2678,False
2024-08-28,5.507900238037109,5.541999816894531,5.46820592880249,5.507900238037109,0.0,5.5663,5.8689,5.2636,False
2024-08-29,5.56220006942749,5.659900188446045,5.559000015258789,5.56220006942749,0.0,5.5645,5.8659,5.2631,False
2024-08-30,5.627699851989746,5.690499782562256,5.573100090026856,5.627699851989746,0.0,5.5651,5.8674,5.2627,False
2024-08-31,5.627699851989746,,,,,5.5641,5.8642,5.2641,False
2024-09-01,5.627699851989746,,,,,5.56,5.8434,5.2766,False
2024-09-02,5.60920000076294,5.656700134277344,5.589797019958496,5.60920000076294,0.0,5.5553,5.8191,5.2915,False
2024-09-03,5.615099906921387,5.649700164794922,5.5756001472473145,5.615099906921387,0.0,5.5508,5.793,5.3085,False
2024-09-04,5.647500038146973,5.658699989318848,5.612772941589356,5.647500038146973,0.0,5.5481,5.776,5.3203,False
2024-09-05,5.642000198364258,5.642899990081787,5.590499877929688,5.642000198364258,0.0,5.5455,5.7584,5.3326,False
2024-09-06,5.567500114440918,5.5960001945495605,5.531700134277344,5.567500114440918,0.0,5.5426,5.7466,5.3385,False
2024-09-07,5.567500114440918,,,,,5.5403,5.738,5.3426,False
2024-09-08,5.567500114440918,,,,,5.541,5.7393,5.3428,False
2024-09-09,5.59660005569458,5.638299942016602,5.581200122833252,5.59660005569458,0.0,5.5427,5.7433,5.3421,False
2024-09-10,5.5843000411987305,5.647299766540527,5.564899921417236,5.5843000411987305,0.0,5.544,5.7458,5.3421,False
2024-09-11,5.662899971008301,5.67170000076294,5.605599880218506,5.662899971008301,0.0,5.5492,5.76,5.3384,False
2024-09-12,5.667399883270264,5.683800220489502,5.632299900054932,5.667399883270264,0.0,5.555,5.7729,5.3372,False
2024-09-13,5.625699996948242,5.626200199127197,5.544649124145508,5.625699996948242,0.0,5.5607,5.7743,5.3471,False
2024-09-14,5.625699996948242,,,,,5.5659,5.7759,5.356,False
2024-09-15,5.625699996948242,,,,,5.5706,5.7778,5.3634,False
2024-09-16,5.612370014190674,5.6124701499938965,5.4989848136901855,5.612370014190674,0.0,5.5749,5.7774,5.3723,False
2024-09-17,5.503900051116943,5.544493198394775,5.486599922180176,5.503900051116943,0.0,5.5755,5.7757,5.3753,False
2024-09-18,5.4816999435424805,5.493599891662598,5.453434944152832,5.4816999435424805,0.0,5.5759,5.7744,5.3773,False
2024-09-19,5.460999965667725,5.463900089263916,5.394178867340088,5.460999965667725,0.0,5.5777,5.7635,5.392,False
2024-09-20,5.423900127410889,5.4969000816345215,5.418000221252441,5.423900127410889,0.0,5.5759,5.7727,5.3791,False
2024-09-21,5.423900127410889,,,,,5.5739,5.7817,5.3662,False
2024-09-22,5.423900127410889,,,,,5.5684,5.7915,5.3453,False
2024-09-23,5.513599872589111,5.594799995422363,5.405317783355713,5.513599872589111,0.0,5.5658,5.7905,5.3411,False
2024-09-24,5.536099910736084,5.537799835205078,5.445899963378906,5.536099910736084,0.0,5.564,5.7888,5.3392,False
2024-09-25,5.449699878692627,5.495399951934815,5.44320011138916,5.449699878692627,0.0,5.5628,5.7922,5.3333,False
2024-09-26,5.473800182342529,5.475900173187256,5.406300067901611,5.473800182342529,0.0,5.5621,5.7938,5.3303,False
2024-09-27,5.436699867248535,5.454999923706055,5.422800064086914,5.436699867248535,0.0,5.5597,5.7997,5.3196,False
2024-09-28,5.436699867248535,,,,,5.5555,5.8048,5.3062,False
2024-09-29,5.436699867248535,,,,,5.5491,5.8032,5.2951,False
2024-09-30,5.433199882507324,5.470099925994873,5.403800010681152,5.433199882507324,0.0,5.5426,5.8003,5.285,False
2024-10-01,5.448500156402588,5.474400043487549,5.429399967193604,5.448500156402588,0.0,5.5367,5.7947,5.2787,False
2024-10-02,5.423999786376953,5.457499980926514,5.404969215393066,5.423999786376953,0.0,5.5305,5.7923,5.2687,False
2024-10-03,5.440299987792969,5.508200168609619,5.416351795196533,5.440299987792969,0.0,5.5247,5.7864,5.2629,False
2024-10-04,5.47629976272583,5.515399932861328,5.451600074768066,5.47629976272583,0.0,5.519,5.7725,5.2655,False
2024-10-05,5.47629976272583,,,,,5.5134,5.7581,5.2688,False
2024-10-06,5.47629976272583,,,,,5.5104,5.7539,5.2669,False
2024-10-07,5.4542999267578125,5.488800048828125,5.420000076293945,5.4542999267578125,0.0,5.5066,5.7498,5.2635,False
2024-10-08,5.494200229644775,5.531099796295166,5.493621826171875,5.494200229644775,0.0,5.5042,5.7449,5.2635,False
2024-10-09,5.5346999168396,5.587299823760986,5.530517101287842,5.5346999168396,0.0,5.5021,5.7378,5.2664,False
2024-10-10,5.596099853515625,5.601799964904785,5.563045978546143,5.596099853515625,0.0,5.5025,5.7396,5.2655,False
2024-10-11,5.581699848175049,5.651700019836426,5.558899879455566,5.581699848175049,0.0,5.4998,5.7236,5.276,False
2024-10-12,5.581699848175049,,,,,5.497,5.7052,5.2887,False
2024-10-13,5.581699848175049,,,,,5.4955,5.6966,5.2944,False
2024-10-14,5.610599994659424,5.649400234222412,5.579599857330322,5.610599994659424,0.0,5.495,5.6932,5.2968,False
2024-10-15,5.594699859619141,5.653299808502197,5.581200122833252,5.594699859619141,0.0,5.494,5.6865,5.3014,False
2024-10-16,5.651999950408936,5.6946001052856445,5.62905216217041,5.651999950408936,0.0,5.4953,5.6964,5.2942,False
2024-10-17,5.668000221252441,5.685400009155273,5.655700206756592,5.668000221252441,0.0,5.5007,5.723,5.2785,False
2024-10-18,5.651800155639648,5.684199810028076,5.630475997924805,5.651800155639648,0.0,5.5064,5.7432,5.2696,False
2024-10-19,5.651800155639648,,,,,5.5128,5.761,5.2645,False
2024-10-20,5.651800155639648,,,,,5.5204,5.7746,5.2662,False
2024-10-21,5.635900020599365,5.7322998046875,5.635900020599365,5.635900020599365,0.0,5.5274,5.7832,5.2717,False
2024-10-22,5.68809986114502,5.712900161743164,5.671395778656006,5.68809986114502,0.0,5.5362,5.7996,5.2728,False
2024-10-23,5.689300060272217,5.728499889373779,5.683625221252441,5.689300060272217,0.0,5.5421,5.8181,5.2661,False
2024-10-24,5.686500072479248,5.717400074005127,5.671500205993652,5.686500072479248,0.0,5.5471,5.8342,5.2601,False
2024-10-25,5.664000034332275,5.7027997970581055,5.662601947784424,5.664000034332275,0.0,5.5543,5.8427,5.2658,False
2024-10-26,5.664000034332275,,,,,5.5606,5.8514,5.2698,False
2024-10-27,5.664000034332275,,,,,5.5682,5.8556,5.2808,False
2024-10-28,5.685812950134277,5.71619987487793,5.683734893798828,5.685812950134277,0.0,5.5765,5.8609,5.2921,False
2024-10-29,5.71019983291626,5.731200218200684,5.685297966003418,5.71019983291626,0.0,5.5856,5.8677,5.3035,False
2024-10-30,5.760000228881836,5.78849983215332,5.672740936279297,5.760000228881836,0.0,5.5965,5.8806,5.3124,False
2024-10-31,5.76230001449585,5.790200233459473,5.753357887268066,5.76230001449585,0.0,5.6069,5.8923,5.3216,False
2024-11-01,5.789400100708008,5.831799983978272,5.760530948638916,5.789400100708008,0.0,5.6191,5.902,5.3363,False
2024-11-02,5.789400100708008,,,,,5.6308,5.9097,5.3518,False
2024-11-03,5.789400100708008,,,,,5.6412,5.9191,5.3633,False
2024-11-04,5.677525997161865,5.868199825286865,5.667759895324707,5.677525997161865,0.0,5.6479,5.9101,5.3857,False
2024-11-05,5.790599822998047,5.803100109100342,5.7633137702941895,5.790599822998047,0.0,5.6584,5.9132,5.4036,False
2024-11-06,5.739799976348877,5.708000183105469,5.690000057220459,5.699999809265137,0.0,5.6679,5.8986,5.4372,False
2024-11-07,5.674799919128418,5.708499908447266,5.629347801208496,5.674799919128418,0.0,5.6739,5.8825,5.4653,False
2024-11-08,5.690999984741211,5.7891998291015625,5.683643817901611,5.690999984741211,0.0,5.6791,5.8724,5.4859,False
2024-11-09,5.690999984741211,,,,,5.6823,5.8698,5.4948,False
2024-11-10,5.690999984741211,,,,,5.6859,5.8646,5.5073,False
2024-11-11,5.736400127410889,5.815400123596191,5.729548931121826,5.736400127410889,0.0,5.6911,5.8616,5.5206,False
2024-11-12,5.75540018081665,5.788059234619141,5.745077133178711,5.75540018081665,0.0,5.6969,5.8592,5.5346,False
2024-11-13,5.748199939727783,5.813799858093262,5.723999977111816,5.748199939727783,0.0,5.7015,5.8585,5.5445,False
2024-11-14,5.805900096893311,5.85472297668457,5.760962009429932,5.805900096893311,0.0,5.7085,5.8635,5.5535,False
2024-11-15,5.788300037384033,5.822328090667725,5.780794143676758,5.788300037384033,0.0,5.7131,5.8706,5.5555,False
2024-11-16,5.788300037384033,,,,,5.7171,5.8777,5.5564,False
2024-11-17,5.788300037384033,,,,,5.7216,5.8824,5.5608,False
2024-11-18,5.794600009918213,5.838951110839844,5.735413074493408,5.794600009918213,0.0,5.7264,5.887,5.5658,False
2024-11-19,5.746399879455566,5.799615859985352,5.738204956054688,5.746399879455566,0.0,5.7295,5.8848,5.5743,False
2024-11-20,5.7718000411987305,5.789599895477295,5.763187885284424,5.7718000411987305,0.0,5.7341,5.8815,5.5866,False
2024-11-21,5.770699977874756,5.830699920654297,5.764577865600586,5.770699977874756,0.0,5.7368,5.8832,5.5904,False
2024-11-22,5.814099788665772,5.8302001953125,5.784835815429688,5.814099788665772,0.0,5.741,5.8907,5.5912,False
2024-11-23,5.814099788665772,,,,,5.7452,5.8969,5.5936,False
2024-11-24,5.814099788665772,,,,,5.7502,5.8992,5.6013,False
2024-11-25,5.799300193786621,5.845870971679688,5.773111820220947,5.799300193786621,0.0,5.7547,5.8977,5.6118,False
2024-11-26,5.797200202941895,5.821300029754639,5.781801223754883,5.797200202941895,0.0,5.7592,5.8943,5.6241,False
2024-11-27,5.809599876403809,5.885913848876953,5.803157806396484,5.809599876403809,0.0,5.7633,5.8945,5.6321,False
2024-11-28,5.937399864196777,6.000800132751465,5.928606033325195,5.937399864196777,0.0,5.7709,5.9297,5.6121,True
2024-11-29,6.013899803161621,6.105800151824951,5.957300186157227,6.013899803161621,0.0,5.7793,5.9863,5.5724,True
2024-11-30,6.013899803161621,,,,,5.7877,6.031,5.5445,False
2024-12-01,6.013899803161621,,,,,5.7952,6.0682,5.5222,False
2024-12-02,5.973199844360352,6.087800025939941,5.965315818786621,5.965671062469482,0.0,5.8013,6.0912,5.5115,False
2024-12-03,6.05679988861084,6.093100070953369,6.028343200683594,6.05679988861084,0.0,5.8103,6.1319,5.4886,False
2024-12-04,6.043099880218506,6.071800231933594,6.025000095367432,6.043099880218506,0.0,5.8224,6.1592,5.4856,False
2024-12-05,6.03879976272583,6.060200214385986,5.955875873565674,6.03879976272583,0.0,5.8307,6.1871,5.4743,False
2024-12-06,6.010300159454346,6.075399875640869,5.98330020904541,6.010300159454346,0.0,5.8397,6.2054,5.4741,False
2024-12-07,6.010300159454346,,,,,5.8509,6.2158,5.486,False
2024-12-08,6.010300159454346,,,,,5.8616,6.2249,5.4982,False
2024-12-09,6.0883002281188965,6.146999835968018,6.032071113586426,6.0883002281188965,0.0,5.8748,6.2454,5.5042,False
2024-12-10,6.076600074768066,6.110400199890137,6.014418125152588,6.076600074768066,0.0,5.8876,6.259,5.5163,False
2024-12-11,6.045300006866455,6.070400238037109,6.000226020812988,6.045300006866455,0.0,5.8979,6.2688,5.5271,False
2024-12-12,5.952700138092041,6.016900062561035,5.86274003982544,5.952700138092041,0.0,5.9045,6.2675,5.5415,False
2024-12-13,5.996099948883057,6.070300102233887,5.982399940490723,5.996099948883057,0.0,5.9128,6.268,5.5576,False
2024-12-14,5.996099948883057,,,,,5.9191,6.2718,5.5664,False
2024-12-15,5.996099948883057,,,,,5.9261,6.2732,5.579,False
2024-12-16,6.040900230407715,6.0954999923706055,6.023858070373535,6.040900230407715,0.0,5.9345,6.278,5.5909,False
2024-12-17,6.147299766540527,6.204500198364258,6.097527027130127,6.147299766540527,0.0,5.9464,6.2987,5.5941,False
2024-12-18,6.1031999588012695,6.19350004196167,6.094419956207275,6.1031999588012695,0.0,5.9567,6.3083,5.6052,False
2024-12-19,6.288899898529053,6.319300174713135,6.113369941711426,6.288899898529053,0.0,5.9748,6.3504,5.5992,False
2024-12-20,6.151599884033203,6.1768999099731445,6.050407886505127,6.151599884033203,0.0,5.9875,6.3569,5.618,False
2024-12-21,6.151599884033203,,,,,6.0002,6.359,5.6413,False
2024-12-22,6.151599884033203,,,,,6.0114,6.3635,5.6593,False
2024-12-23,6.084199905395508,6.180900096893311,6.068655967712402,6.084199905395508,0.0,6.0204,6.3562,5.6846,False
2024-12-24,6.193900108337402,6.214499950408936,6.181506156921387,6.193900108337402,0.0,6.0331,6.3608,5.7054,False
2024-12-25,6.175600051879883,6.411099910736084,6.168654918670654,6.175600051879883,0.0,6.0456,6.3543,5.7369,False
2024-12-26,6.182799816131592,6.197700023651123,6.147799968719482,6.174200057983398,0.0,6.0585,6.3421,5.7749,False
2024-12-27,6.148499965667725,6.209499835968018,6.166165828704834,6.148499965667725,0.0,6.0698,6.3198,5.8197,False
2024-12-28,6.148499965667725,,,,,6.0768,6.3188,5.8348,False
2024-12-29,6.148499965667725,,,,,6.0813,6.3237,5.8389,False
2024-12-30,6.193699836730957,6.254000186920166,6.148662090301514,6.193699836730957,0.0,6.0873,6.3341,5.8405,False
2024-12-31,6.1778998374938965,6.206999778747559,6.169532775878906,6.1778998374938965,0.0,6.0928,6.3408,5.8447,False
2025-01-01,6.1778998374938965,,,,,6.0996,6.3423,5.8569,False
2025-01-02,6.300000190734863,6.35890007019043,6.148056983947754,6.297999858856201,0.0,6.1077,6.3726,5.8428,False
2025-01-03,6.151000022888184,6.200799942016602,6.135200023651123,6.151000022888184,0.0,6.1113,6.3746,5.8479,False
2025-01-04,6.151000022888184,,,,,6.115,6.3759,5.8541,False
2025-01-05,6.151000022888184,,,,,6.1197,6.3744,5.865,False
2025-01-06,6.180699825286865,6.253499984741211,6.093900203704834,6.180699825286865,0.0,6.1254,6.3744,5.8764,False
2025-01-07,6.115499973297119,6.146299839019775,6.053193092346191,6.115499973297119,0.0,6.1289,6.3693,5.8885,False
2025-01-08,6.100900173187256,6.153200149536133,6.088611125946045,6.100900173187256,0.0,6.1293,6.3692,5.8894,False
2025-01-09,6.105800151824951,6.158999919891357,6.054800033569336,6.105800151824951,0.0,6.1303,6.3687,5.8919,False
2025-01-10,6.034599781036377,6.118000030517578,6.026135921478272,6.034599781036377,0.0,6.1299,6.3696,5.8903,False
2025-01-11,6.034599781036377,,,,,6.1327,6.3573,5.9081,False
2025-01-12,6.034599781036377,,,,,6.1339,6.3522,5.9157,False
2025-01-13,6.105899810791016,6.207900047302246,6.078800201416016,6.105899810791016,0.0,6.1376,6.3422,5.933,False
2025-01-14,6.093400001525879,6.137599945068359,6.042901039123535,6.093400001525879,0.0,6.1409,6.331,5.9507,False
2025-01-15,6.054800033569336,6.109399795532227,6.004157066345215,6.054800033569336,0.0,6.1413,6.3293,5.9533,False
2025-01-16,6.012199878692627,6.048500061035156,5.995399951934815,6.012199878692627,0.0,6.1368,6.3376,5.936,False
2025-01-17,6.049900054931641,6.088600158691406,6.0210371017456055,6.049900054931641,0.0,6.135,6.3406,5.9294,False
2025-01-18,6.049900054931641,,,,,6.1271,6.3183,5.9358,False
2025-01-19,6.049900054931641,,,,,6.1237,6.319,5.9284,False
2025-01-20,6.066163063049316,6.107500076293945,6.025940895080566,6.066163063049316,0.0,6.1208,6.3179,5.9237,False
2025-01-21,6.029799938201904,6.063799858093262,6.022017002105713,6.029799938201904,0.0,6.1168,6.3192,5.9144,False
2025-01-22,6.020500183105469,6.057199954986572,5.910035133361816,6.020500183105469,0.0,6.1146,6.3232,5.9061,False
2025-01-23,5.940299987792969,5.974199771881104,5.8976359367370605,5.940299987792969,0.0,6.1062,6.3305,5.8819,False
2025-01-24,5.923999786376953,5.977499961853027,5.865989208221436,5.923999786376953,0.0,6.0978,6.3396,5.856,False
2025-01-25,5.923999786376953,,,,,6.0892,6.3439,5.8344,False
2025-01-26,5.923999786376953,,,,,6.0817,6.3496,5.8138,False
2025-01-27,5.90910005569458,5.998300075531006,5.901919841766357,5.90910005569458,0.0,6.0737,6.3548,5.7926,False
2025-01-28,5.892600059509277,5.916999816894531,5.858099937438965,5.892600059509277,0.0,6.0652,6.3598,5.7706,False
2025-01-29,5.856100082397461,5.886099815368652,5.837893009185791,5.856100082397461,0.0,6.0539,6.3606,5.7473,False
