data,daily_return,log_return,rolling_mean_7d,rolling_std_7d,price_momentum_5d,spike_signal,spike_intensity,inter_spike_interval,india_repo_rate,target
2022-10-17,0.002685210909449065,0.0026816121714424847,82.26910073416573,0.10505425439536312,0.0016882723676846902,0,0.0,6.0,7.46,0
2022-10-18,-0.0026464516653427195,-0.002649959709163717,82.23681531633649,0.08314117583829359,-6.441362531949251e-05,0,0.0,7.0,7.46,1
2022-10-19,0.0011156156111558069,0.0011149937745040261,82.2386005946568,0.08419774042581747,0.0011473038869189071,0,0.0,8.0,7.46,1
2022-10-20,0.008635713896962827,0.008598639409917124,82.35245840890067,0.2959370034382629,0.009792925572001999,1,0.008635713896962827,9.0,7.46,0
2022-10-21,-0.0020639636614437906,-0.002066096569777205,82.44297245570591,0.3332578025780379,0.007708749668038388,0,0.0,1.0,7.46,0
2022-10-22,0.0,0.0,82.53348650251117,0.3397444623926241,0.0050100856220198255,0,0.0,2.0,7.46,0
2022-10-23,0.0,0.0,82.6240005493164,0.3172937444166692,0.007676853709646998,0,0.0,3.0,7.46,0
2022-10-24,-0.0034337282254357504,-0.0034396370001607067,82.6423568725586,0.3065748508529151,0.003097693808219097,1,0.0034337282254357504,4.0,7.46,1
2022-10-25,0.002667750453767992,0.0026641983235883445,82.72332763671875,0.23517182335801032,-0.002837501906268491,0,0.0,1.0,7.46,0
2022-10-26,-0.0038206202873140027,-0.0038279375004786607,82.74602726527623,0.18913082309906723,-0.004592796880656366,1,0.0038206202873140027,2.0,7.46,0
2022-10-27,-0.004799528421925436,-0.004811083144767438,82.61068398611886,0.2910964334288497,-0.009370282043416944,1,0.004799528421925436,1.0,7.46,1
2022-10-28,0.004788549436254286,0.004777120803263399,82.55594090053013,0.2797321777661484,-0.004626602665959232,1,0.004788549436254286,1.0,7.46,0
2022-10-29,0.0,0.0,82.5011978149414,0.25450049709403966,-0.001196984560193211,0,0.0,1.0,7.46,0
2022-10-30,0.0,0.0,82.44645472935268,0.2104717766945498,-0.0038544522970966697,0,0.0,2.0,7.46,0
2022-10-31,-0.002465966981195389,-0.0024690124855438985,82.4032974243164,0.21859893684055737,-0.002499844997395031,0,0.0,3.0,7.46,1
2022-11-01,0.005955791383004616,0.005938125764628463,82.39865439278739,0.2098946231680129,0.008280327921442423,1,0.005955791383004616,4.0,7.36,0
2022-11-02,-0.0005378359572664193,-0.0005379806429053022,82.43282645089286,0.2365352363099462,0.0029354326056785815,0,0.0,1.0,7.36,1
2022-11-03,0.002465946637929761,0.002462911180678824,82.55265481131417,0.22205962613084257,0.005408617863773162,0,0.0,2.0,7.36,0
2022-11-04,-0.0024924643430052074,-0.002495575703300774,82.5868410382952,0.22069057837145012,0.002902672733597553,0,0.0,3.0,7.36,0
2022-11-05,0.0,0.0,82.62102726527623,0.21300521809966327,0.005381911330429484,0,0.0,4.0,7.36,0
2022-11-06,0.0,0.0,82.65521349225726,0.1982704017866746,-0.000570482378540788,0,0.0,5.0,7.36,0
2022-11-07,-0.00854846363968631,-0.00858521132904861,82.61747087751117,0.29312055039509577,-0.008580848401905103,1,0.00854846363968631,6.0,7.36,0
2022-11-08,-0.0018176526742156307,-0.0018193066093279298,82.48847089494977,0.4108983875671003,-0.012817244072078692,0,0.0,1.0,7.36,0
2022-11-09,-0.005142610831398553,-0.0051558795646497475,82.3057131086077,0.5648415728461522,-0.015439960012065771,1,0.005142610831398553,2.0,7.36,0
2022-11-10,-0.0007541746712400599,-0.000754459204024704,82.08505684988839,0.5998890493808102,-0.016182490256539724,0,0.0,1.0,7.36,0
2022-11-11,-0.010583484455624403,-0.010639887843133244,81.77092851911273,0.7830772688975027,-0.026594707578080787,1,0.010583484455624403,2.0,7.36,0
